limite_credito,sexo,escolaridade,estado_civil,idade,status_pag_set,status_pag_ago,status_pag_jul,status_pag_jun,status_pag_mai,status_pag_abr,fatura_set,fatura_ago,fatura_jul,fatura_jun,fatura_mai,fatura_abr,pagamento_set,pagamento_ago,pagamento_jul,pagamento_jun,pagamento_mai,pagamento_abr,inadimplente,media_fatura,media_pagamento,taxa_utilizacao,qtd_atrasos,faixa_etaria,perfil_risco,cluster_kmeans,cluster_hierarquico
20000.0,Feminino,Graduação,Casado,24,2,2,-1,-1,-2,-2,3913.0,3102.0,689.0,0.0,0.0,0.0,0.0,689.0,0.0,0.0,0.0,0.0,1,1284.0,114.83,0.0642,2,Até 25,Médio,1,
120000.0,Feminino,Graduação,Solteiro,26,-1,2,0,0,0,2,2682.0,1725.0,2682.0,3272.0,3455.0,3261.0,0.0,1000.0,1000.0,1000.0,0.0,2000.0,1,2846.17,833.33,0.0237,2,26–35,Médio,1,
90000.0,Feminino,Graduação,Solteiro,34,0,0,0,0,0,0,29239.0,14027.0,13559.0,14331.0,14948.0,15549.0,1518.0,1500.0,1000.0,1000.0,1000.0,5000.0,0,16942.17,1836.33,0.1882,0,26–35,Baixo,1,
50000.0,Feminino,Graduação,Casado,37,0,0,0,0,0,0,46990.0,48233.0,49291.0,28314.0,28959.0,29547.0,2000.0,2019.0,1200.0,1100.0,1069.0,1000.0,0,38555.67,1398.0,0.7711,0,36–45,Médio,0,
50000.0,Masculino,Graduação,Casado,57,-1,0,-1,0,0,0,8617.0,5670.0,35835.0,20940.0,19146.0,19131.0,2000.0,36681.0,10000.0,9000.0,689.0,679.0,0,18223.17,9841.5,0.3645,0,Acima de 55,Baixo,0,
50000.0,Masculino,Pós-graduação,Solteiro,37,0,0,0,0,0,0,64400.0,57069.0,57608.0,19394.0,19619.0,20024.0,2500.0,1815.0,657.0,1000.0,1000.0,800.0,0,39685.67,1295.33,0.7937,0,36–45,Médio,0,
500000.0,Masculino,Pós-graduação,Solteiro,29,0,0,0,0,0,0,367965.0,412023.0,445007.0,542653.0,483003.0,473944.0,55000.0,40000.0,38000.0,20239.0,13750.0,13770.0,0,454099.17,30126.5,0.9082,0,26–35,Alto,2,0.0
100000.0,Feminino,Graduação,Solteiro,23,0,-1,-1,0,0,-1,11876.0,380.0,601.0,221.0,-159.0,567.0,380.0,601.0,0.0,581.0,1687.0,1542.0,0,2247.67,798.5,0.0225,0,Até 25,Baixo,1,
140000.0,Feminino,Ensino Médio,Casado,28,0,0,2,0,0,0,11285.0,14096.0,12108.0,12211.0,11793.0,3719.0,3329.0,0.0,432.0,1000.0,1000.0,1000.0,0,10868.67,1126.83,0.0776,1,26–35,Médio,1,
20000.0,Masculino,Ensino Médio,Solteiro,35,-2,-2,-2,-2,-1,-1,0.0,0.0,0.0,0.0,13007.0,13912.0,0.0,0.0,0.0,13007.0,1122.0,0.0,0,4486.5,2354.83,0.2243,0,26–35,Baixo,0,
